,match_id,game_time,tower11,tower12,tower21,tower22,target
0,3a0b6c94b4f61795a9e03ec445970126,658,652,579,0,0,1
1,6cac9cf0754aa813b04bee4d79778ca5,21,0,0,0,0,1
2,cf0cf905d3953248edb5f4f0465e673a,576,0,0,0,0,1
3,35fdad5395842385cbd3c15302bbdafe,453,0,0,0,0,0
4,4f4d413b816efb53b078420808e2eede,160,0,0,0,0,0
5,19c62f8db70e68ff00086841f4681056,1016,0,0,0,0,1
6,fac19c50545a5af103ec1d2fcb7a06f3,582,0,0,472,0,0
7,a8d742f93793bd2667363630d3d8d0d3,1054,820,780,887,831,0
8,87a1e7024c7c8c7a2f5240ea58e3f4b1,605,0,0,0,0,0
9,b54149765c89003ec487e60083d3c829,721,608,0,0,0,0
10,eb0e1bc32d0958b016c211510ef48416,1362,1344,0,1091,1058,0
11,dd6e895cf533191456ba9f1ce7a17323,2388,2326,1780,2156,2117,1
12,1f970767d762eeec8bd4a61cf322c8de,752,0,0,0,0,1
13,a95bf1c415d77cb2742225281c4f5d15,730,0,0,0,0,1
14,a97f773cab1bbb71fc4b64e93e535652,840,0,0,673,0,0
15,076ec1faf5910fb76c4bafef86c7c30b,1955,1944,1861,1842,1070,1
16,57d11a54ac77c1a90969864b5da0210d,154,0,0,0,0,1
17,3f8ef53df8e1865abcc21a92880335e8,1249,1059,764,1120,0,1
18,ddf02cb28aa6fd3c1b48bf14f783b586,907,757,0,650,0,1
19,06d1c2e42bd8ec85eadf90fbaea211f7,655,0,0,0,0,1
20,a0472c3f3ad32f40b4eb845bee7aab20,1465,1454,1094,1429,1057,0
21,da48d897a242dce0accb0634c21b2329,1654,1372,1050,930,0,1
22,3af52d6ba444c11477279188e6ec3be9,2991,2700,2324,2696,2108,1
23,6200c4711ff8eee1ba184b370cfa73fe,1079,860,754,845,0,0
24,d7e32cb1934694afc16ed3a5b1f9932a,983,0,0,972,0,0
25,71dd86d51e170f3cd804ca3181d2bf35,736,0,0,0,0,1
26,6950bb251a2293445564f6f12e77ddc3,783,0,0,710,585,0
27,0d2ce8e6672c93f7c94d8aa750a7aae6,1460,0,0,1373,904,0
28,53ec9c784a28d27fd5e60638e51542d6,51,0,0,0,0,0
29,3b4d1dcac48e41cc85d7a65b50173c11,293,0,0,0,0,1
30,c100afe2556f0b553b2c02a9b106ee66,876,0,0,761,0,0
31,f88827cea63eab21c9b925968793d0e5,19,0,0,0,0,1
32,66c6e66828e38fe9891707c1f8cdfd0c,33,0,0,0,0,1
33,7a6dd61d33e6ae601c60105ad0952e8b,945,689,0,863,611,0
34,5dd7988ad6374838cce104aab5dbd192,947,943,0,0,0,1
35,ec79ef1a74f62313be4020c7ac3c5f85,897,825,783,0,0,1
36,3c02992f158d48b406da8a95555f5893,379,0,0,0,0,0
37,df20bd057044c5f0071cd59a3f84aa95,464,0,0,0,0,1
38,8be754ce3d7c367317f5e17b1581d068,353,0,0,0,0,1
39,632abb7cf27f7bc037c52096a8ae2400,593,578,0,0,0,1
40,d74c1c47c9ce3e2c82afc12815a3c073,2750,1970,1466,2572,2486,0
41,655d2c43ca57ab3801505db13b4c8c46,105,0,0,0,0,0
42,d3606c50c88b8ef22d787a66a90557e7,429,0,0,0,0,1
43,f2acd1bfeedf66fb724e79edaca5840c,1925,1798,1659,1786,1579,0
44,434a3477e492852d7293604c18d18513,68,0,0,0,0,0
45,6720880df008fe5865fc778689a56e4e,561,476,345,358,0,0
46,fdd6c1e21cacf98872b3b29b2cfc414a,783,0,0,576,0,1
47,e69147da104a29acb0bf07fddea2fe78,1783,1131,1077,1124,1024,0
48,b9ca7ec03f9e5d9c378745c6da9a5f2f,213,0,0,0,0,1
49,a9c1eac037e1e1d63fa98f0878bda98d,472,0,0,0,0,0
50,67c9c3b4468b03954b87ffaf331c181e,1331,958,0,1185,960,0
51,fb42cfa8f47c35b55539ea5a0943c764,986,791,0,913,849,1
52,15216b265b00e5583fa9e4c1a4168c54,601,0,0,0,0,0
53,698296d836bf6fbba1650d901a96db8b,1739,0,0,1514,1056,0
54,89b9fa9e6dfeafdf4225cea66b513d70,1954,1878,1575,1687,1295,1
55,0c12d30b23dfb3c8152998b11072fe17,803,544,532,0,0,1
56,e82a4fc1e641ef9cf4114b04b8bba339,2718,1779,1652,2077,1886,0
57,23af83b160902acf0289ec5e896f9438,54,0,0,0,0,0
58,a45b78b0ac3370d0e9c6eaec4ef0ae83,866,843,0,0,0,1
59,fc16eb4f02232b9b9b2817069f045dc6,898,0,0,0,0,0
60,f06981ad757b9b098c5ce456632810fa,1626,1615,1507,1351,1216,1
61,7492108f34164c6e4228e50d51431457,349,248,239,0,0,1
62,5b0392b7068a448da2bafddce6493b8a,1427,1311,1267,1421,1308,1
63,006afba479a797d8bb32399916568fc7,369,0,0,0,0,1
64,5cd9cd221fb5ea2d629692a1b7a179b6,779,706,0,665,0,1
65,7f7b351098e18feb67be56c7153f1cbd,408,0,0,0,0,0
66,47779c94380e0d5d5522a043081ac397,343,0,0,0,0,1
67,6d1ee6f64bacdd728ae4a9e0541a027f,161,0,0,0,0,0
68,419ea60bcbad1733c7b6970d5a51c181,1863,1707,1622,1636,0,1
69,65dbf0798a830ab782094e79746a1a0b,403,0,0,0,0,1
70,e5840b0fbf1f78c405144de3a61e2586,945,0,0,0,0,0
71,e6c32a36532c71f45d95f0bfcd8b899d,3291,3235,2869,1927,1581,1
72,d44ca4868170bd0ce83a7492bc30751d,1195,1053,954,0,0,1
73,60ee03a2de0358e6ce1f5890dabb7f7c,224,0,0,0,0,1
74,e57b1f20add03ab4d95175a9767b5cd0,359,0,0,0,0,0
75,2b2379ba84b76611576cc7e724798ca5,394,0,0,0,0,1
